ligand,receptor,pathway,function,AX,LA,LV,RA,RV,SP,mean_score
TNXB,ITGB4,ecm,functional,0.30056160021625594,0.0,0.0,0.0,0.0,0.0,0.05009360003604266
THBS4,ITGA8,ecm,functional,0.0,0.0,0.0,0.0,0.10537700163641955,0.19517256758388057,0.05009159487005002
ANXA2,PLAT,ligand,functional,0.0,0.0,0.0,0.0,0.29900221042229974,0.0,0.04983370173704996
COL1A2,ITGA3,ecm,functional,0.0,0.0,0.298918201351754,0.0,0.0,0.0,0.049819700225292335
EZR,PRKCA,ligand,functional,0.0,0.0,0.0,0.29745161483216476,0.0,0.0,0.049575269138694124
CSF1R,PDGFRB,cell_adhesion,functional,0.29658231616240904,0.0,0.0,0.0,0.0,0.0,0.049430386027068174
CTSG,CXCL12,ligand,functional,0.0,0.0,0.05799149293785852,0.0,0.23844154794981182,0.0,0.04940550681461172
COL5A1,ITGB5,ecm,functional,0.29606965978846445,0.0,0.0,0.0,0.0,0.0,0.049344943298077405
THBS1,EGFR,ecm,functional,0.0,0.0,0.0,0.0,0.2958561324746248,0.0,0.049309355412437465
RGS19,ENG,cell_adhesion,functional,0.0,0.2957229608450732,0.0,0.0,0.0,0.0,0.04928716014084553
TGFB1,NR3C1,ligand,functional,0.0,0.0,0.0,0.29452096122803,0.0,0.0,0.049086826871338335
LYN,PLCG2,cell_adhesion,functional,0.0,0.10885119875144719,0.03207985066410205,0.0,0.0,0.153547142616196,0.04907969867195754
CXCL8,ICAM1,ligand,functional,0.0,0.0,0.021353872994780726,0.2717220848798742,0.0,0.0,0.04884599297910915
CD9,PDPN,cell_surface_ligand,functional,0.0,0.29060223939533786,0.0,0.0,0.0,0.0,0.04843370656588964
ACTN1,PIK3CA,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.2906017120511124,0.0484336186751854
ANXA1,PAK1,ligand,functional,0.0,0.0,0.09132502645943405,0.0,0.0,0.198601686215412,0.048321118779141005
COL5A1,ITGB4,ecm,functional,0.10275182267299662,0.0,0.06647970827970827,0.0,0.12062871602956182,0.0,0.04831004116371112
CCL13,ACKR1,ligand,functional,0.0,0.15826365642129278,0.0,0.0,0.13055036536824535,0.0,0.048135670298256356
HLA-DRA,CD37,ligand,functional,0.0,0.0,0.0,0.2878772461561828,0.0,0.0,0.04797954102603047
CD14,ITGB2,cell_surface_ligand,functional,0.28598601285378134,0.0,0.0,0.0,0.0,0.0,0.047664335475630225
JAG1,VASN,ligand,functional,0.17226946637533752,0.0,0.1136947553318821,0.0,0.0,0.0,0.04766070361786994
MXRA5,SIGLEC1,ligand,functional,0.0,0.0,0.0,0.1335598213937762,0.0,0.15218516269712928,0.04762416401515091
PRKCZ,ANXA2,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.28481774586781494,0.0,0.04746962431130249
PLA2G2A,ERBB3,ligand,functional,0.0,0.2845005155127684,0.0,0.0,0.0,0.0,0.0474167525854614
THBS2,ITGB5,ecm,functional,0.28361372359656134,0.0,0.0,0.0,0.0,0.0,0.047268953932760226
CXCL12,GZMB,ligand,functional,0.0,0.10940854108112387,0.06544976826589548,0.0,0.10873506154355932,0.0,0.047265561815096446
PDGFRB,HEXIM1,cell_adhesion,functional,0.28323661287288865,0.0,0.0,0.0,0.0,0.0,0.04720610214548144
TGFB1,COL1A2,ligand,functional,0.0,0.0,0.2822619585919509,0.0,0.0,0.0,0.04704365976532515
THBS2,ITGA3,ecm,functional,0.0,0.0,0.0,0.28135782212007965,0.0,0.0,0.04689297035334661
ESR1,C3,cell_adhesion,functional,0.08464451374388018,0.0,0.0,0.0,0.08445040600850305,0.11138221447206466,0.04674618903740798
HLA-DRA,CBL,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.28017599515514696,0.04669599919252449
COL5A2,CD93,ecm,functional,0.0,0.2799942334859705,0.0,0.0,0.0,0.0,0.04666570558099509
ACVR2A,ENG,cell_adhesion,functional,0.0,0.2797553867836504,0.0,0.0,0.0,0.0,0.04662589779727507
MMP2,LRP2,ecm,functional,0.0,0.10254835413954741,0.0,0.10065126219435512,0.07634870125298038,0.0,0.046591386264480485
COL1A1,SDC3,ecm,functional,0.0,0.0,0.0,0.0,0.27898881246114715,0.0,0.04649813541019119
MIF,EGFR,ligand,functional,0.0,0.0,0.0,0.0,0.2787412667305901,0.0,0.04645687778843168
BAMBI,TGFB1,activating_cofactor,functional,0.0,0.0,0.0,0.27824316977164126,0.0,0.0,0.04637386162860688
COL1A1,ITGA9,ecm,functional,0.0,0.27816167975214334,0.0,0.0,0.0,0.0,0.046360279958690555
HSP90AA1,DAPK1,cell_adhesion,functional,0.0,0.0,0.0,0.2773733506651506,0.0,0.0,0.0462288917775251
COL6A3,ITGA9,ecm,functional,0.0,0.2768138747251797,0.0,0.0,0.0,0.0,0.046135645787529954
SAA1,SCARB1,ligand,functional,0.0,0.0,0.07512277313726211,0.11095458041910218,0.09041432719802245,0.0,0.04608194679239779
IL6,PTGS2,ligand,functional,0.0,0.0,0.0,0.2639456522012284,0.0,0.010943248916840743,0.045814816853011524
CLU,LRP2,ligand,functional,0.0,0.09531847769593317,0.0,0.1190092241594813,0.060332736609879145,0.0,0.04577673974421561
CXCL12,CD4,ligand,functional,0.0,0.2734731729414594,0.0,0.0,0.0,0.0,0.0455788621569099
GSN,CASP9,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.2732251853212843,0.04553753088688072
TFF3,ACKR3,ligand,functional,0.05519853935564479,0.1545752270116896,0.06301396975725404,0.0,0.0,0.0,0.0454646226874314
RTN4,NGFR,cell_surface_ligand,functional,0.2717519877797952,0.0,0.0,0.0,0.0,0.0,0.0452919979632992
TGFB1,ADAMTS4,ligand,functional,0.0,0.0,0.0,0.27132615003702965,0.0,0.0,0.04522102500617161
GPC6,LRP1,ecm,functional,0.09477667130814847,0.0,0.0,0.0,0.1765090528912833,0.0,0.04521428736657196
COL1A1,ITGA10,ecm,functional,0.06450698016777645,0.1774780235302266,0.02865281169441548,0.0,0.0,0.0,0.04510630256540309
CCL21,CCR1,ligand,functional,0.028460658621930538,0.10432839354354703,0.0,0.0,0.13766980797111555,0.0,0.04507647668943219
ESR1,COL1A2,cell_adhesion,functional,0.08525921668462559,0.0,0.0,0.0,0.0757116137732089,0.10858890831660359,0.04492662312907301
HP,ITGB2,ligand,functional,0.0,0.0,0.0,0.269397430417346,0.0,0.0,0.04489957173622433
S100A6,ESR1,ligand,functional,0.08299258160346236,0.0,0.0,0.0,0.07632544842667532,0.11006368887306074,0.04489695315053307
INSR,FCGR2A,ligand_regulator,functional,0.26929935209397293,0.0,0.0,0.0,0.0,0.0,0.04488322534899549
FCGR2A,PDGFRB,cell_adhesion,functional,0.2688434066009867,0.0,0.0,0.0,0.0,0.0,0.04480723443349779
ITGA5,ADAM17,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.2678633061278809,0.044643884354646814
ADAM17,ITGA5,ecm_regulator,functional,0.0,0.0,0.0,0.0,0.0,0.26786330612788084,0.04464388435464681
CXCL12,GNAI1,ligand,functional,0.0,0.0,0.0,0.0,0.2672920064119122,0.0,0.0445486677353187
PCOLCE,BMP1,ecm,functional,0.26651452332697934,0.0,0.0,0.0,0.0,0.0,0.04441908722116322
TNC,ITGA8,ecm,functional,0.0,0.0827480643841572,0.009979011384630821,0.0,0.04018503793473422,0.13320448574825927,0.044352766575296916
TGFBR1,CD44,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.26575922883535363,0.04429320480589227
SYK,TUBA4A,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.26481063600455945,0.044135106000759906
CXCL10,ACKR1,ligand,functional,0.021869991568792994,0.0,0.032813413819460055,0.0,0.1083188803911887,0.10157382252301675,0.04409601805040975
S100A8,CD69,ligand,functional,0.0,0.0,0.0,0.11745075698070531,0.08516319004063846,0.06139559517919037,0.04400159036675569
CCL18,CCR1,ligand,functional,0.06099651515530594,0.0998600216976666,0.0,0.0,0.10291385161231391,0.0,0.043961731410881076
CCL21,CXCL10,ligand,functional,0.008563490302971712,0.0,0.037852849956094385,0.024698473075529644,0.11504460942754349,0.0775371736627391,0.04394943273747972
LYN,PECAM1,cell_adhesion,functional,0.26359422218955053,0.0,0.0,0.0,0.0,0.0,0.04393237036492509
SEMA3G,FCGR2A,ligand,functional,0.10972607748881943,0.0,0.0,0.0,0.1524803365115379,0.0,0.04370106900005955
LGALS8,ITGA3,ligand,functional,0.0,0.0,0.0,0.2616113914330085,0.0,0.0,0.043601898572168084
COL6A3,ITGA10,ecm,functional,0.08367163388251951,0.1764995797355863,0.0,0.0,0.0,0.0,0.04336186893635097
TGFB1,CSF1,ligand,functional,0.0,0.0,0.0,0.2589129525983937,0.0,0.0,0.04315215876639895
PTN,SDC3,ligand,functional,0.0,0.0,0.0,0.0,0.25886657521245554,0.0,0.04314442920207592
IGFBP5,ESR1,ligand,functional,0.08869592215361036,0.0,0.0,0.0,0.07644174892094216,0.0926504081529843,0.042964679871256135
EFEMP1,EGFR,ecm,functional,0.0,0.0,0.0,0.0,0.2572515422398669,0.0,0.04287525703997782
COL4A2,ITGA8,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.2570478578605006,0.042841309643416765
FN1,PLAUR,ecm,functional,0.0,0.0,0.0,0.0,0.2568767292917886,0.0,0.0428127882152981
NCOR1,PPARG,cell_adhesion,functional,0.0,0.15696688335207726,0.09989310713436748,0.0,0.0,0.0,0.04280999841440746
LGALS9,CD44,ligand,functional,0.0,0.25591885507282813,0.0,0.0,0.0,0.0,0.042653142512138024
SDC2,PIK3CA,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.25549686901970253,0.04258281150328375
PDGFA,SOS1,ligand,functional,0.0,0.0,0.0828815836388657,0.0,0.17090485581351053,0.0,0.04229773990872937
DLL1,NOTCH3,ligand,functional,0.0,0.0,0.0,0.0,0.2537017395522133,0.0,0.04228362325870222
NOTCH3,DLL1,cell_surface_ligand,functional,0.0,0.0,0.0,0.0,0.2537017395522133,0.0,0.04228362325870222
THBS2,ITGB4,ecm,functional,0.10124186280502938,0.0,0.0,0.0,0.15095684081562233,0.0,0.04203311727010862
TGFB2,TGFBR3,ligand,functional,0.0,0.0,0.0,0.08429976530854363,0.0,0.1678575125140582,0.042026212970433637
COL18A1,ITGA3,ecm,functional,0.0,0.0,0.2517353099906309,0.0,0.0,0.0,0.04195588499843848
SPP1,ITGB4,ligand,functional,0.07476616662115838,0.0,0.07220170278391898,0.0,0.10447664609952659,0.0,0.041907419250767325
CSF3,CXCL12,ligand,functional,0.0,0.16389908117189084,0.0,0.0,0.08731606736671574,0.0,0.0418691914231011
LBP,CD14,ecm,functional,0.0,0.11561045665764787,0.03393006963611668,0.0,0.10158969131553598,0.0,0.04185503626821676
NPPB,DPP4,ligand,functional,0.1391263873898354,0.0,0.0,0.11110986652356585,0.0,0.0,0.04170604231890021
MYH11,ITGB5,ecm,functional,0.24981719153266954,0.0,0.0,0.0,0.0,0.0,0.041636198588778255
TNC,EDNRA,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.24786046364644138,0.041310077274406894
SAA1,HMOX1,ligand,functional,0.020589552421995394,0.0,0.0,0.10621174049729291,0.08670632381747476,0.03371366539579227,0.04120354702209256
PDGFRB,TNK2,cell_adhesion,functional,0.2466240298495314,0.0,0.0,0.0,0.0,0.0,0.0411040049749219
PLAT,ITGB2,ecm_regulator,functional,0.0,0.0,0.0,0.24624788424519198,0.0,0.0,0.04104131404086533
SERPINE2,PLAT,ecm_regulator,functional,0.0,0.1948723778145578,0.0513140396497639,0.0,0.0,0.0,0.04103106957738695
SERPINF1,PLXDC2,ligand,functional,0.0,0.0,0.24588898540368562,0.0,0.0,0.0,0.040981497567280936
INSR,JAK2,ligand_regulator,functional,0.24572829182484615,0.0,0.0,0.0,0.0,0.0,0.04095471530414103
SPON2,ITGB2,ligand,functional,0.0,0.0,0.0,0.24411461449458868,0.0,0.0,0.04068576908243145
HLA-DRB5,CD4,ligand,functional,0.0,0.24392701683907478,0.0,0.0,0.0,0.0,0.04065450280651246
MSN,SYK,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.24337527723411745,0.040562546205686244
SYK,MSN,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.24337527723411745,0.040562546205686244
CCL11,PLCB1,ligand,functional,0.0700603211402393,0.0,0.0,0.0,0.0,0.17216878656363016,0.04037151795064491
SERPINA5,THBD,ecm,functional,0.0,0.19012347409218927,0.05144952666367478,0.0,0.0,0.0,0.04026216679264401
PDGFRB,PIK3R2,cell_adhesion,functional,0.24126503035706579,0.0,0.0,0.0,0.0,0.0,0.0402108383928443
CCL11,CCR1,ligand,functional,0.06877113599438868,0.04868358119565698,0.0,0.0,0.1234804124808104,0.0,0.04015585494514268
MIF,CXCR4,ligand,functional,0.0,0.0,0.0,0.0,0.2406108763803555,0.0,0.04010181273005925
IGFBP3,EGFR,ligand,functional,0.0,0.0,0.0,0.0,0.24054712119624863,0.0,0.04009118686604144
COL5A2,DDR2,ecm,functional,0.0,0.24044272231584254,0.0,0.0,0.0,0.0,0.040073787052640426
CXCL12,JAK2,ligand,functional,0.0,0.0,0.0,0.0,0.24018057403991466,0.0,0.04003009567331911
THBS1,ITGA10,ecm,functional,0.06387357938882511,0.14018714502067864,0.03601369367698632,0.0,0.0,0.0,0.040012403014415006
COL4A4,ITGAV,ecm,functional,0.0,0.0,0.0,0.0,0.23819955991424732,0.0,0.039699926652374554
THBS2,ITGB8,ecm,functional,0.049923002234399785,0.0,0.0,0.11281890445068504,0.07534410343454244,0.0,0.039681001686604545
ANGPTL1,LPL,ligand,functional,0.0,0.23774615131738053,0.0,0.0,0.0,0.0,0.039624358552896755
COL3A1,ITGB8,ecm,functional,0.10430393519884118,0.0,0.0,0.0,0.13330628321153004,0.0,0.0396017030683952
TGFB1,LPL,ligand,functional,0.0,0.0,0.0,0.23754237458933172,0.0,0.0,0.03959039576488862
SYK,ZYX,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.23749994032141333,0.03958332338690222
TLR2,CXCL12,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.23574590482024943,0.0,0.039290984136708236
NCOR1,HDAC3,cell_adhesion,functional,0.0,0.235639014870591,0.0,0.0,0.0,0.0,0.0392731691450985
LYN,INSR,cell_adhesion,functional,0.2349033827350747,0.0,0.0,0.0,0.0,0.0,0.03915056378917912
INSR,LYN,ligand_regulator,functional,0.2349033827350747,0.0,0.0,0.0,0.0,0.0,0.03915056378917912
THBS2,SDC3,ecm,functional,0.0,0.0,0.0,0.0,0.23458026121425668,0.0,0.039096710202376116
CXCL12,PRKCZ,ligand,functional,0.0,0.0,0.0,0.0,0.23433774191686033,0.0,0.03905629031947672
COL5A2,CD44,ecm,functional,0.0,0.23433235813513503,0.0,0.0,0.0,0.0,0.039055393022522505
KITLG,STAT3,ligand,functional,0.23377783132106103,0.0,0.0,0.0,0.0,0.0,0.03896297188684351
THBS1,ITGB7,ecm,functional,0.0,0.0,0.033253604767597186,0.0885562106348613,0.11162841927061541,0.0,0.038906372445512316
LYN,FCGR3A,cell_adhesion,functional,0.09799280667615422,0.13463961386028472,0.0,0.0,0.0,0.0,0.038772070089406495
TGFB3,TGFBR3,ligand,functional,0.0,0.23247788076281856,0.0,0.0,0.0,0.0,0.03874631346046976
S100B,MAP3K5,ligand,functional,0.0,0.08931031320198161,0.04957408376546143,0.0,0.09310769052568718,0.0,0.0386653479155217
COL6A3,ITGB8,ecm,functional,0.10308585145163579,0.0,0.0,0.0,0.12859061678609274,0.0,0.03861274470628809
IL6,NOTCH3,ligand,functional,0.0,0.0,0.06263556920822046,0.0,0.0,0.16879974998648323,0.03857255319911728
GNLY,C3,ecm,functional,0.0,0.0,0.0,0.23130298631542295,0.0,0.0,0.03855049771923716
S100A8,AGER,ligand,functional,0.0,0.0,0.03748196586114294,0.09291946011464165,0.10080272968336097,0.0,0.03853402594319092
EPHB2,AQP1,cell_surface_ligand,functional,0.0,0.2310571251260034,0.0,0.0,0.0,0.0,0.0385095208543339
IL18,THBS1,ligand,functional,0.0,0.0,0.0,0.12977047521012763,0.10114942274740786,0.0,0.03848664965958925
TGFB1,TGFBR1,ligand,functional,0.0,0.0,0.0,0.23039677844217232,0.0,0.0,0.038399463073695385
TGFBR1,TGFB1,cell_adhesion,functional,0.0,0.0,0.0,0.23039677844217232,0.0,0.0,0.038399463073695385
B2M,LILRB2,ecm,functional,0.0,0.23038052019697397,0.0,0.0,0.0,0.0,0.03839675336616233
CCL2,ACKR4,ligand,functional,0.0,0.09505944521205371,0.0,0.0,0.0,0.13508947179018316,0.038358152833706145
CCL3,CXCR4,ligand,functional,0.0,0.10809319883299265,0.019359813628928375,0.10213182387206991,0.0,0.0,0.038264139388998496
CXCL6,ACKR1,ligand,functional,0.025362754029611658,0.06420318709200364,0.0,0.0,0.06639511749007057,0.07308305359749946,0.038174018701530886
COL6A1,ITGA8,ecm,functional,0.0,0.0,0.0,0.0,0.2282891726361377,0.0,0.03804819543935629
COL4A1,ITGA8,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.22817180712643678,0.038028634521072795
PLTP,ABCA1,ecm,functional,0.22482027637208518,0.0,0.0,0.0,0.0,0.0,0.0374700460620142
TNFRSF1A,NSMAF,ligand,functional,0.2240881983788217,0.0,0.0,0.0,0.0,0.0,0.03734803306313695
IGF1,SOS1,ligand,functional,0.0,0.0,0.06279632893719596,0.0,0.1609014699595941,0.0,0.03728296648279834
COL5A1,LAIR1,ecm,functional,0.0,0.15647439625009665,0.06695837960120453,0.0,0.0,0.0,0.037238795975216864
IGFBP3,TGFB1,ligand,functional,0.0,0.0,0.22336335145257527,0.0,0.0,0.0,0.03722722524209588
THBS1,ITGA9,ecm,functional,0.0,0.22308667769099805,0.0,0.0,0.0,0.0,0.03718111294849968
NOTCH2,JAG1,cell_surface_ligand,functional,0.0,0.0,0.0,0.0,0.22299694987670027,0.0,0.03716615831278338
JAG1,NOTCH2,ligand,functional,0.0,0.0,0.0,0.0,0.22299694987670024,0.0,0.03716615831278337
SIGLEC1,INSR,ecm,functional,0.22258112523296827,0.0,0.0,0.0,0.0,0.0,0.03709685420549471
LYN,FCGR2A,cell_adhesion,functional,0.09128169492476927,0.13116286585175208,0.0,0.0,0.0,0.0,0.03707409346275356
CCL19,CCR1,ligand,functional,0.02628434933490964,0.10078430588192297,0.0,0.0,0.09450616751158068,0.0,0.036929137121402215
TGFB1,HMOX1,ligand,functional,0.0,0.0,0.0,0.22136901180826665,0.0,0.0,0.03689483530137778
IGF1,PDGFRB,ligand,functional,0.22127974106020495,0.0,0.0,0.0,0.0,0.0,0.03687995684336749
PDGFRA,PIK3CA,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.22062353196956794,0.036770588661594654
DDR2,PPARG,cell_adhesion,functional,0.0,0.15756709355762752,0.06258779552693874,0.0,0.0,0.0,0.03669248151409438
NGFR,PLCG1,activating_cofactor,functional,0.0,0.0,0.0,0.0,0.21976628754103888,0.0,0.036627714590173145
TNC,ITGAV,ecm,functional,0.0,0.0,0.0,0.0,0.21809605184978256,0.0,0.03634934197496376
POSTN,PTK7,ligand,functional,0.04048459710551495,0.0,0.0,0.15026420817256253,0.027320945072500498,0.0,0.036344958391762994
CXCL12,ADRA2A,ligand,functional,0.0,0.0,0.06375805920640337,0.0,0.15406192205047853,0.0,0.03630333020948032
IGF1,INSR,ligand,functional,0.21749587258257375,0.0,0.0,0.0,0.0,0.0,0.03624931209709562
EZR,CD86,ligand,functional,0.0,0.0,0.0,0.21734932166355211,0.0,0.0,0.03622488694392535
JAK2,STAT3,cell_adhesion,functional,0.2164903253088761,0.0,0.0,0.0,0.0,0.0,0.036081720884812686
LAMC2,CD44,ecm,functional,0.05349633656581545,0.0,0.0,0.0,0.0,0.16247735689903084,0.03599561557747438
ACVR2A,TGFBR3,cell_adhesion,functional,0.0,0.1473521173120289,0.0683415137203432,0.0,0.0,0.0,0.03594893850539535
TFF3,CXCR4,ligand,functional,0.0,0.12521431585325435,0.037786614246026466,0.0,0.052620849169525016,0.0,0.03593696321146764
PDGFRB,JAK2,cell_adhesion,functional,0.21541902216767367,0.0,0.0,0.0,0.0,0.0,0.03590317036127894
JAK2,PDGFRB,cell_adhesion,functional,0.21541902216767367,0.0,0.0,0.0,0.0,0.0,0.03590317036127894
JAK2,TNFRSF1A,cell_adhesion,functional,0.2150872381376233,0.0,0.0,0.0,0.0,0.0,0.03584787302293722
CXCL16,CXCR4,ecm,functional,0.0,0.12300783507285858,0.0,0.09148703277121029,0.0,0.0,0.03574914464067814
BAMBI,TGFBR1,activating_cofactor,functional,0.0,0.0,0.0,0.21446377892492496,0.0,0.0,0.03574396315415416
BMP1,COL1A1,ligand,functional,0.21312357518118777,0.0,0.0,0.0,0.0,0.0,0.0355205958635313
PTPN6,PECAM1,ligand,functional,0.2115743563336829,0.0,0.0,0.0,0.0,0.0,0.03526239272228048
LYN,PDGFRB,cell_adhesion,functional,0.21049238236184709,0.0,0.0,0.0,0.0,0.0,0.03508206372697451
PDGFRB,LYN,cell_adhesion,functional,0.21049238236184706,0.0,0.0,0.0,0.0,0.0,0.03508206372697451
TGFB1,CXCR4,ligand,functional,0.0,0.0,0.05781413076057402,0.15254967753717932,0.0,0.0,0.03506063471629222
SDC2,CDH11,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.20991562397394178,0.034985937328990295
EDN1,COL1A2,ligand,functional,0.0,0.0,0.0,0.0,0.2099054558525135,0.0,0.034984242642085585
COL3A1,ITGA3,ecm,functional,0.0,0.0,0.2097549923669419,0.0,0.0,0.0,0.034959165394490316
PECAM1,CD38,ligand,functional,0.20888787014662094,0.0,0.0,0.0,0.0,0.0,0.034814645024436826
CD38,PECAM1,cell_surface_ligand,functional,0.2088878701466209,0.0,0.0,0.0,0.0,0.0,0.03481464502443682
HLA-DPB1,CD4,ligand,functional,0.0,0.20862660122529475,0.0,0.0,0.0,0.0,0.03477110020421579
LYN,PRKDC,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.20786927032419664,0.03464487838736611
LYN,STAT3,cell_adhesion,functional,0.20726728403580555,0.0,0.0,0.0,0.0,0.0,0.03454454733930092
NGFR,SOS1,activating_cofactor,functional,0.0,0.0,0.0,0.0,0.2066435886754122,0.0,0.0344405981125687
ERBB3,ANXA1,ligand_regulator,functional,0.0,0.20547955306593016,0.0,0.0,0.0,0.0,0.03424659217765503
VCAN,TLR1,ecm,functional,0.0,0.0,0.0,0.0,0.10590919425877307,0.09948339869072707,0.034232098824916686
COL3A1,ITGA2,ecm,functional,0.0,0.11846087148537546,0.0,0.0,0.08665215754787142,0.0,0.03418550483887448
TGFB1,CXCL12,ligand,functional,0.0,0.0,0.203824170690239,0.0,0.0,0.0,0.033970695115039834
AXL,PLCG1,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.20370767176781895,0.0,0.03395127862796982
C1QA,CD33,ecm,functional,0.0,0.2036943171510888,0.0,0.0,0.0,0.0,0.0339490528585148
JAK2,APOA1,cell_adhesion,functional,0.20259508389775097,0.0,0.0,0.0,0.0,0.0,0.03376584731629183
COL1A2,LAIR1,ecm,functional,0.0,0.0,0.20228703806201,0.0,0.0,0.0,0.033714506343668335
COMP,ITGA8,ecm,functional,0.0,0.05512295220016848,0.0,0.09576291400469908,0.01241390860935274,0.03891491772483389,0.033702448756509025
FLNA,IKBKB,ecm,functional,0.0,0.0,0.20122671973023265,0.0,0.0,0.0,0.033537786621705444
LFNG,NOTCH2,ligand,functional,0.0,0.0,0.0,0.11255942864821693,0.08863658953438912,0.0,0.03353266969710101
NGFR,NTRK2,activating_cofactor,functional,0.059191205719130814,0.0,0.0,0.0,0.14184661037400392,0.0,0.03350630268218912
EMILIN1,TGFB1,ecm,functional,0.0,0.0,0.20084304027312527,0.0,0.0,0.0,0.033473840045520876
VCAN,EGFR,ecm,functional,0.0,0.0,0.0,0.0,0.20015523743902136,0.0,0.033359206239836896
C1QB,CD33,ecm,functional,0.0,0.19978798090863764,0.0,0.0,0.0,0.0,0.033297996818106274
ABCA1,APOA1,cell_surface_ligand,functional,0.1997864511850034,0.0,0.0,0.0,0.0,0.0,0.033297741864167237
APOA1,ABCA1,ligand,functional,0.19978645118500335,0.0,0.0,0.0,0.0,0.0,0.03329774186416722
COL6A1,ITGB8,ecm,functional,0.0,0.0,0.0,0.0,0.1997590012503862,0.0,0.03329316687506437
PDGFRA,NRAS,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.1986435855996556,0.03310726426660927
TYROBP,SEMA6D,cell_surface_ligand,functional,0.0,0.0,0.0,0.19783320404250535,0.0,0.0,0.03297220067375089
SEMA6D,TYROBP,ligand,functional,0.0,0.0,0.0,0.19783320404250535,0.0,0.0,0.03297220067375089
CCL4,CXCR4,ligand,functional,0.0,0.09677366579029696,0.0,0.056749219814339606,0.04348966235832455,0.0,0.032835424660493516
IL33,IL1RL1,ligand,functional,0.08544091217418681,0.0,0.0,0.0,0.0,0.11148649315456494,0.03282123422145863
LAMC2,ITGA5,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.19667788592352273,0.032779647653920455
S100A8,TLR4,ligand,functional,0.0,0.19641005951376136,0.0,0.0,0.0,0.0,0.03273500991896023
KITLG,LYN,ligand,functional,0.07693014287367166,0.06664051738226316,0.052428859197765874,0.0,0.0,0.0,0.03266658657561678
IGF1,STAT3,ligand,functional,0.19569820368760102,0.0,0.0,0.0,0.0,0.0,0.032616367281266836
SPP1,ITGB5,ligand,functional,0.1956288571394679,0.0,0.0,0.0,0.0,0.0,0.03260480952324465
ICAM1,ITGAX,ligand,functional,0.020649532028352437,0.0,0.0,0.1738179210912183,0.0,0.0,0.03241124218659512
TIMP2,LRP2,ecm_regulator,functional,0.0,0.0,0.0,0.12289147676128223,0.07149605346726616,0.0,0.03239792170475806
SEMA4C,PLXNB1,cell_surface_ligand,functional,0.19434140996247234,0.0,0.0,0.0,0.0,0.0,0.03239023499374539
ITGAL,ICAM1,adhesion,functional,0.03942375456353599,0.0,0.049140633362102476,0.10540472769190674,0.0,0.0,0.03232818593625753
ICAM1,ITGAL,ligand,functional,0.03942375456353599,0.0,0.049140633362102476,0.10540472769190674,0.0,0.0,0.03232818593625753
APOE,ABCA1,ligand,functional,0.19353722891488473,0.0,0.0,0.0,0.0,0.0,0.032256204819147455
CTSG,THBD,ligand,functional,0.0,0.0,0.03346516981337727,0.0,0.15982748682578435,0.0,0.0322154427731936
AGRN,LRP1,ecm,functional,0.0,0.0,0.1929309304886001,0.0,0.0,0.0,0.03215515508143335
SLPI,CD4,ecm,functional,0.0,0.14532922429215572,0.0,0.0,0.0,0.04747562294172234,0.032134141205646345
TYROBP,SYK,cell_surface_ligand,functional,0.0,0.0,0.0,0.0,0.0,0.1920388287793433,0.032006471463223884
SYK,TYROBP,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.19203882877934325,0.03200647146322388
NFKB1,ICAM1,ecm,functional,0.0,0.19159759652510694,0.0,0.0,0.0,0.0,0.03193293275418449
APOE,TREM2,ligand,functional,0.0555742602968979,0.1359839186760085,0.0,0.0,0.0,0.0,0.03192636316215107
AXL,LYN,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.19097675182623283,0.03182945863770547
THBS4,ITGB8,ecm,functional,0.09047898886267751,0.0,0.0,0.0,0.10039717897191326,0.0,0.031812694639098464
PPIA,CXCR4,ligand,functional,0.0,0.0,0.19083895780650056,0.0,0.0,0.0,0.031806492967750094
CXCR4,PPIA,cell_adhesion,functional,0.0,0.0,0.19083895780650054,0.0,0.0,0.0,0.03180649296775009
